X,Y,Z,formation
61.996307,51.0,85.535714,Quaternary
62.70254969718305,52.80,83.39285714285714,Andesite
112.13951851026992,71.24,35.53571428571429,Rhyolite
124.14563950773386,79.36,25.535714285714278,Qtz_Porphyryie
141.0954573865065,91.0,11.964285714285708,Rhyolite
155.92654803043263,95.0,-1.607142857142776,Qz-Rhyolite
160.164003,62.0,89.107143,Quaternary
176.40757796728283,65.36,61.25000000000002,Rhyolite
204.6572744319039,81.90,14.82142857142864,Qz-Rhyolite
239.2631526010647,89.0,-34.46428571428561,Dacite
279.5189700631497,101.62,-90.89285714285705,Dacite_altered
315.53733305554164,130.0,-136.60714285714278,Dacite
